objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
space1,,,Agincourt,Toronto Public Library ,,,3D printer,"155 Bonis Avenue
Toronto
M1T 3W6",43.78575714,-79.29327476,,,,,,,
space2,,,Agincourt,Toronto Public Library ,,,Software Lab,"155 Bonis Avenue
Toronto
M1T 3W6",43.78575714,-79.29327476,,,,,,,
space3,,,Agincourt,Toronto Public Library ,,,Recording Studio,"155 Bonis Avenue
Toronto
M1T 3W6",43.78575714,-79.29327476,,,,,,,
space4,,,Agincourt,Toronto Public Library ,,,Coding Equipment,"155 Bonis Avenue
Toronto
M1T 3W6",43.78575714,-79.29327476,,,,,,,
space5,,,Albert Campbell,Toronto Public Library ,,,,"496 Birchmount Road
Toronto
M1K 1N8",43.70907259,-79.2688411,,,,,,,
space6,,,Albion,Toronto Public Library ,,,,"1515 Albion Road
Toronto
M9V 1B2",43.74076641,-79.58477352,,,,,,,
space7,,,Downsview,Toronto Public Library ,,,,"2793 Keele Street
Toronto
M3M 2G3",43.72942708,-79.48223101,,,,,,,
space8,,,Fort York,Toronto Public Library ,,,,"190 Fort York Boulevard
Toronto
M5V 0E7",43.64012934,-79.40075596,,,,,,,
space9,,,North York Central Library,Toronto Public Library ,,,,"5120 Yonge Street
Toronto
M2N 5N9",43.76888737,-79.4144405,,,,,,,
space10,,,Richview,Toronto Public Library ,,,,"1806 Islington Avenue
Toronto
M9P 3N3",43.68434671,-79.54150727,,,,,,,
space11,,,Scarborough Civic Centre,Toronto Public Library ,,,,"156 Borough Drive
Toronto
M1P 4N7",43.77292015,-79.25721648,,,,,,,
space12,,,Toronto Reference Library,Toronto Public Library ,,,,"789 Yonge Street
Toronto
M4W 2G8",43.67279947,-79.38694468,,,,,,,
space13,,,Ancaster,Hamilton Public Library,,,,"300 Wilson Street East
Ancaster
L9G 2B9",43.225396,-79.97664174,,,,,,,
space14,,,Barton,Hamilton Public Library,,,,"571 Barton Street East
Hamilton
L8L 2Z4",43.25817256,-79.84129599,,,,,,,
space15,,,Binbrook,Hamilton Public Library,,,,"2641 Regional Road 56
Binbrook
L0R 1C0",43.12196711,-79.80366062,,,,,,,
space16,,,Central Library,Hamilton Public Library,,,,"55 York Boulevard
Hamilton
L8N 2E4",43.25911479,-79.87042424,,,,,,,
space17,,,Concession,Hamilton Public Library,,,,"565 Concession Street
Hamilton
L8V 1A8",43.24127237,-79.85132717,,,,,,,
space18,,,Dundas,Hamilton Public Library,,,,"18 Ogilvie St
Dundas
L9H 2S2",43.24362451,-79.80887072,,,,,,,
space19,,,Kenilworth,Hamilton Public Library,,,,"103 Kenilworth Avenue North
Hamilton
L8H 4R6",43.24362451,-79.80887072,,,,,,,
space20,,,Lynden,Hamilton Public Library,,,,"110 Lynden Rd
Hamilton
L0R 1T0",43.2368708,-80.14661905,,,,,,,
space21,,,Red Hill,Hamilton Public Library,,,,"695 Queenston Road
Hamilton
L8G 1A1",43.23052266,-79.77196552,,,,,,,
space22,,,Saltfleet,Hamilton Public Library,,,,"131 Gray Road
Stoney Creek
L8G 3V3",43.22241743,-79.74502727,,,,,,,
space23,,,Sherwood,Hamilton Public Library,,,,"467 Upper Ottawa Street
Hamilton
L8T 3T3",43.22672317,-79.82862459,,,,,,,
space24,,,Stoney Creek ,Hamilton Public Library,,,,"777 Highway 8
Stoney Creek
L8E 5J4",43.21300985,-79.69132947,,,,,,,
space25,,,Terryberry,Hamilton Public Library,,,,"100 Mohawk Road West
Hamilton
L9C 1W1",43.23053209,-79.88676527,,,,,,,
space26,,,Turner Park,Hamilton Public Library,,,,"352 Rymal Road East
Hamilton
L9B 1C2",43.19864687,-79.87861717,,,,,,,
space27,,,Valley Park,Hamilton Public Library,,,,"970 Paramount Dr.
Stoney Creek
L8J 1Y2",43.1933772,-79.79782474,,,,,,,
space28,,,Waterdown,Hamilton Public Library,,,,"163 Dundas St E
Waterdown
L8N 2Z7",43.32409602,-79.90504659,,,,,,,
space29,,,Burnhamthorpe Library,Mississauga Public Library,,,,"3650 Dixie Road
Mississauga
L4Y 3V9",43.62144287,-79.60320885,,,,,,,
space30,,,Courtneypark Library,Mississauga Public Library,,,,"730 Courtneypark Dr W 
Mississauga
L5W 1L9",43.62360713,-79.70994366,,,,,,,
space31,,,Erin Meadows Library,Mississauga Public Library,,,,"2800 Erin Centre Boulevard
Mississauga
L5M 6R5",43.55716448,-79.71755596,,,,,,,
space32,,,Malton Library,Mississauga Public Library,,,,"3540 Morning Star Drive
Mississauga 
L4T 1Y2",43.72361498,-79.6388903,,,,,,,
space33,,,Meadowvale Library,Mississauga Public Library,,,,"6655 Glen Erin Drive
 Mississauga
L5N 3L4",43.58535699,-79.75564597,,,,,,,
space34,,,Sheridan Library,Mississauga Public Library,,,,"2225 Erin Mills Parkway
Mississauga
L5K 1T9",43.53076233,-79.65250127,,,,,,,
space35,,,South Common Library,Mississauga Public Library,,,,"2233 South Millway
Mississauga
L5L 3H7",43.54254746,-79.68449237,,,,,,,
space36,,,Glen Abbey,Oakville Public Library ,,,,"1415 Third Line
Oakville
L6M 3G2",43.43588211,-79.73913291,,,,,,,
space37,,,Iroquois Ridge,Oakville Public Library ,,,,"1051 Glenashton Drive 
Oakville 
L6H 6Z4",43.48824495,-79.70087867,,,,,,,
space38,,,Central Branch ,Burlington Public Library,,,,"2331 New St
Burlington
L7R 1J4",43.33682681,-79.78992817,,,,,,,
,,,,,,,,,,,,,,,,,
