objectid,filename,youtubeid,title,titleplus,creator,date,description,subject,location,latitude,longitude,collection,source,identifier,type,format,language,rights,rightsstatement
ancaster1,software.jpg,,Ancaster,Ancaster | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
ancaster2,scanner.jpg,,Ancaster,Ancaster | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
barton1,software.jpg,,Barton,Barton | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
barton2,scanner.jpg,,Barton,Barton | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
binbrook1,software.jpg,,Binbrook,Binbrook | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
binbrook2,scanner.jpg,,Binbrook,Binbrook | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
centralhpl1,3dprinter.jpg,,Central Library,Central Library | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
centralhpl2,crafting.jpg,,Central Library,Central Library | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
centralhpl3,software.jpg,,Central Library,Central Library | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
centralhpl4,scanner.jpg,,Central Library,Central Library | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
centralhpl5,recording.jpg,,Central Library,Central Library | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
centralhpl6,fabric.jpg,,Central Library,Central Library | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
centralhpl7,workshop.jpg,,Central Library,Central Library | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
concession1,software.jpg,,Concession,Concession | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
concession2,scanner.jpg,,Concession,Concession | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
dundas1,software.jpg,,Dundas,Dundas | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
dundas2,scanner.jpg,,Dundas,Dundas | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
dundas3,recording.jpg,,Dundas,Dundas | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
kenilworth1,software.jpg,,Kenilworth,Kenilworth | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
kenilworth2,scanner.jpg,,Kenilworth,Kenilworth | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
lynden1,software.jpg,,Lynden,Lynden | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
lynden2,scanner.jpg,,Lynden,Lynden | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
redhill1,3dprinter.jpg,,Red Hill,Red Hill | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
redhill2,software.jpg,,Red Hill,Red Hill | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
redhill3,scanner.jpg,,Red Hill,Red Hill | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
redhill4,recording.jpg,,Red Hill,Red Hill | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
saltfleet1,scanner.jpg,,Saltfleet,Saltfleet | Hamilton Public Library,Hamilton Public Library,2022,,,,,,,,,,,,,
